timestamp    open    high    low    close    volume    datetime    ema_rapida    ema_lenta    diferencia_emas    cruce_alcista    cruce_bajista    tendencia    rsi    macd    macd_signal    macd_hist
1750165200000    0,929    0,937    0,925    0,931    2259931,9    2025-06-17 13:00:00                False    False    NEUTRAL                
1750168800000    0,932    0,946    0,924    0,926    1966177,0    2025-06-17 14:00:00                False    False    NEUTRAL                
1750172400000    0,925    0,927    0,907    0,917    4389003,2    2025-06-17 15:00:00                False    False    NEUTRAL                
1750176000000    0,916    0,918    0,893    0,894    3442409,1    2025-06-17 16:00:00                False    False    NEUTRAL                
1750179600000    0,893    0,913    0,891    0,907    5695725,5    2025-06-17 17:00:00                False    False    NEUTRAL                
1750183200000    0,907    0,914    0,901    0,914    2488693,0    2025-06-17 18:00:00                False    False    NEUTRAL                
1750186800000    0,914    0,935    0,913    0,926    1617074,9    2025-06-17 19:00:00                False    False    NEUTRAL                
1750190400000    0,926    0,93    0,918    0,919    882217,6    2025-06-17 20:00:00                False    False    NEUTRAL                
1750194000000    0,919    0,922    0,91    0,915    1217995,8    2025-06-17 21:00:00                False    False    NEUTRAL                
1750197600000    0,916    0,917    0,903    0,905    934872,2    2025-06-17 22:00:00                False    False    NEUTRAL                
1750201200000    0,905    0,918    0,905    0,91    385497,7    2025-06-17 23:00:00                False    False    NEUTRAL                
1750204800000    0,91    0,92    0,908    0,918    673420,2    2025-06-18 00:00:00    0,9151666666666665            False    False    NEUTRAL                
1750208400000    0,918    0,925    0,914    0,915    553016,0    2025-06-18 01:00:00    0,9151410256410255            False    False    NEUTRAL                
1750212000000    0,915    0,92    0,91    0,914    386291,3    2025-06-18 02:00:00    0,9149654832347139            False    False    NEUTRAL                
1750215600000    0,914    0,925    0,914    0,921    289391,1    2025-06-18 03:00:00    0,9158938704293733            False    False    NEUTRAL    45,6140350877193            
1750219200000    0,921    0,932    0,92    0,927    292328,6    2025-06-18 04:00:00    0,9176025057479312            False    False    NEUTRAL    48,53128991060025            
1750222800000    0,928    0,933    0,925    0,926    567563,6    2025-06-18 05:00:00    0,9188944279405572            False    False    NEUTRAL    48,06850248126885            
1750226400000    0,926    0,929    0,919    0,921    357384,0    2025-06-18 06:00:00    0,9192183621035485            False    False    NEUTRAL    45,72087625746647            
1750230000000    0,921    0,922    0,917    0,919    303064,0    2025-06-18 07:00:00    0,9191847679337718            False    False    NEUTRAL    44,77880121797309            
1750233600000    0,919    0,923    0,906    0,909    1301117,5    2025-06-18 08:00:00    0,9176178805593453            False    False    NEUTRAL    40,306781027137006            
1750237200000    0,909    0,913    0,899    0,902    1038354,7    2025-06-18 09:00:00    0,9152151297040615            False    False    NEUTRAL    37,484708601215225            
1750240800000    0,902    0,903    0,88    0,882    2233350,4    2025-06-18 10:00:00    0,9101051097495905            False    False    NEUTRAL    30,840690948192318            
1750244400000    0,881    0,898    0,879    0,896    1362976,4    2025-06-18 11:00:00    0,907935092865038            False    False    NEUTRAL    38,992311117333045            
1750248000000    0,896    0,899    0,887    0,887    720141,8    2025-06-18 12:00:00    0,9047143093473399            False    False    NEUTRAL    36,05056917568158            
1750251600000    0,887    0,89    0,868    0,889    1906096,7    2025-06-18 13:00:00    0,902296723293903            False    False    NEUTRAL    37,18470012581561            
1750255200000    0,89    0,914    0,886    0,902    3656686,6    2025-06-18 14:00:00    0,9022510735563795    0,9112307692307693    -0,008979695674389832    False    False    BAJISTA    44,12164397859348            
1750258800000    0,903    0,914    0,897    0,908    1541717,2    2025-06-18 15:00:00    0,903135523778475    0,910991452991453    -0,007855929212978063    False    False    BAJISTA    47,029223889340116            
1750262400000    0,908    0,91    0,895    0,899    759063,1    2025-06-18 16:00:00    0,9024992893510173    0,9101031972143083    -0,007603907863291015    False    False    BAJISTA    43,3826884121249            
1750266000000    0,9    0,915    0,891    0,909    999225,6    2025-06-18 17:00:00    0,90349939868163    0,9100214789021374    -0,006522080220507376    False    False    BAJISTA    48,189656885102124            
1750269600000    0,909    0,919    0,897    0,897    2698813,2    2025-06-18 18:00:00    0,9024994911921485    0,9090569249093865    -0,006557433717238048    False    False    BAJISTA    43,42503800937144            
1750273200000    0,897    0,915    0,895    0,902    3505839,1    2025-06-18 19:00:00    0,9024226463933563    0,9085341897309134    -0,006111543337557035    False    False    BAJISTA    45,82840131944911            
1750276800000    0,902    0,986    0,9    0,95    9040009,1    2025-06-18 20:00:00    0,9097422392559169    0,9116057312323272    -0,0018634919764103364    False    False    BAJISTA    62,359625310188136            
1750280400000    0,95    0,955    0,937    0,948    2693836,4    2025-06-18 21:00:00    0,9156280486011604    0,9143016029928956    0,0013264456082647813    True    False    ALCISTA    61,517253667363924            
1750284000000    0,949    0,951    0,94    0,948    817898,7    2025-06-18 22:00:00    0,9206083488163666    0,9167977805489774    0,003810568267389125    False    False    ALCISTA    61,51725366736392    0,004992802567666099    -0,001957370543856264    0,006950173111522363
1750287600000    0,948    0,959    0,945    0,956    1264019,5    2025-06-18 23:00:00    0,9260532182292333    0,9197016486564605    0,0063515695727727195    False    False    ALCISTA    63,78659076155277    0,0073519216730070225    -9,551210048360653e-05    0,007447433773490629
1750291200000    0,956    0,97    0,948    0,958    1415316,5    2025-06-19 00:00:00    0,9309681077324281    0,9225385635707968    0,00842954416163133    False    False    ALCISTA    64,35255123292029    0,009275995938752724    0,0017787895073636596    0,007497206431389064
1750294800000    0,958    0,959    0,94    0,943    885360,2    2025-06-19 01:00:00    0,9328191680812853    0,9240542255285156    0,008764942552769717    False    False    ALCISTA    57,13979415849555    0,009481170979564801    0,003319265801803888    0,006161905177760913
1750298400000    0,943    0,947    0,937    0,937    695186,7    2025-06-19 02:00:00    0,9334623729918567    0,9250131717856626    0,00844920120619419    False    False    ALCISTA    54,50806624914384    0,009055240644251561    0,004466460770293423    0,004588779873958138
1750302000000    0,937    0,947    0,937    0,943    674640,8    2025-06-19 03:00:00    0,9349297002238788    0,926345529431169    0,008584170792709789    False    False    ALCISTA    56,657862605686624    0,009096973394142949    0,005392563295063328    0,0037044100990796204
1750305600000    0,944    0,947    0,938    0,946    714420,3    2025-06-19 04:00:00    0,936632823266359    0,9278014161399712    0,008831407126387747    False    False    ALCISTA    57,73337442834637    0,00926531701990807    0,0061671140400322766    0,0030982029798757938
1750309200000    0,946    0,957    0,943    0,943    902536,2    2025-06-19 05:00:00    0,9376123889176884    0,92892723716664    0,008685151751048337    False    False    ALCISTA    56,230706262470086    0,009052306276334798    0,0067441524872927806    0,0023081537890420178
1750312800000    0,943    0,947    0,938    0,941    707995,6    2025-06-19 06:00:00    0,9381335598534286    0,929821515895037    0,00831204395839158    False    False    ALCISTA    55,19922218986466    0,008622713172095509    0,007119864624253326    0,0015028485478421824
1750316400000    0,942    0,945    0,933    0,933    511045,6    2025-06-19 07:00:00    0,9373437814144396    0,9300569591620713    0,007286822252368319    False    False    ALCISTA    51,15683999304716    0,007549696202425404    0,007205830939887742    0,00034386526253766224
1750320000000    0,934    0,941    0,933    0,935    426851,9    2025-06-19 08:00:00    0,936983199658372    0,9304231103352513    0,006560089323120688    False    False    ALCISTA    52,10123444568997    0,006782521127015162    0,007121168977313226    -0,0003386478502980638
1750323600000    0,935    0,944    0,934    0,939    649088,6    2025-06-19 09:00:00    0,9372934766340071    0,9310584354956031    0,006235041138404007    False    False    ALCISTA    54,01623489693932    0,006423252664776169    0,006981585714805815    -0,0005583330500296456
1750327200000    0,94    0,94    0,927    0,93    560984,8    2025-06-19 10:00:00    0,9361714033056983    0,9309800328662992    0,005191370439399101    False    False    ALCISTA    49,245569818973465    0,005350626346329435    0,006655393841110539    -0,0013047674947811042
1750330800000    0,93    0,93    0,921    0,923    630593,1    2025-06-19 11:00:00    0,93414503356636    0,9303889193206474    0,0037561142457126495    False    False    ALCISTA    45,85348151907107    0,003890869243884487    0,006102488921665329    -0,0022116196777808416
1750334400000    0,924    0,93    0,92    0,925    406825,7    2025-06-19 12:00:00    0,9327381053253816    0,9299897401117105    0,0027483652136710557    False    False    ALCISTA    46,977255124460626    0,002862388673662619    0,005454468872064787    -0,002592080198402168
1750338000000    0,925    0,93    0,923    0,928    903463,7    2025-06-19 13:00:00    0,9320091660445536    0,9298423519552875    0,0021668140892661114    False    False    ALCISTA    48,697241281024326    0,002263295478489802    0,00481623419334979    -0,0025529387148599883
1750341600000    0,928    0,937    0,926    0,933    1736933,6    2025-06-19 14:00:00    0,9321616020376993    0,9300762518104514    0,002085350227247873    False    False    ALCISTA    51,51990806515484    0,0021669883258217393    0,00428638501984418    -0,002119396694022441
1750345200000    0,933    0,935    0,927    0,932    1225554,8    2025-06-19 15:00:00    0,9321367401857455    0,9302187516763439    0,0019179885094016136    False    False    ALCISTA    50,91652608265982    0,001987066900502543    0,003826521395975853    -0,0018394544954733099
1750348800000    0,932    0,94    0,921    0,925    1589182,6    2025-06-19 16:00:00    0,9310387801571693    0,9298321774780962    0,0012066026790731321    False    False    ALCISTA    46,785907980763206    0,0012650536253893119    0,003314227841858545    -0,002049174216469233
1750352400000    0,925    0,942    0,92    0,936    1522220,8    2025-06-19 17:00:00    0,931802044748374    0,9302890532204594    0,00151299152791462    False    False    ALCISTA    53,20969955252784    0,0015624500209514558    0,002963872277677127    -0,0014014222567256714
